Kuukausi;Lampotila;Allergialaakemyynti;Jaatelomyynti;S24_kirosanat;S24_allergia;S24_ihottuma;S24_kajaani;S24_kesa;S24_uimahousut
2005/01;-5.6;2,624;4,5;216;0;0;0;38;0
2005/02;0.2;1,6;3,9;126;3;1;0;61;0
2005/03;2.1;3,008;3,4;335;3;0;2;76;0
2005/04;6;7,808;1,8;294;0;0;0;102;0
2005/05;10.6;9,28;3,8;337;5;2;0;156;1
2005/06;13.4;47,04;11;78;7;1;0;87;2
2005/07;20;37,632;21,4;170;4;1;0;214;0
2005/08;17.8;25,056;8;168;2;0;2;114;0
2005/09;13;7,776;4,2;219;26;5;0;77;2
2005/10;6.6;1,344;1,6;256;7;0;0;72;0
2005/11;3.1;1,024;1,1;192;17;0;0;47;0
2005/12;0.1;3,008;6;124;37;3;1;26;0
2006/01;-4.8;2,72;1,8;172;9;1;4;98;0
2006/02;-1.8;1,6;1,9;93;21;1;0;54;0
2006/03;-5.0;2,656;2;158;3;2;0;82;0
2006/04;2.9;5,12;2,4;379;7;2;2;63;0
2006/05;12.8;10,688;5,1;338;8;1;1;180;0
2006/06;17.2;49,344;12,6;488;4;1;4;284;0
2006/07;18;37,824;20,9;204;7;1;1;167;0
2006/08;17.1;24,032;8,6;163;22;1;2;74;0
2006/09;12.5;6,592;5,1;227;5;2;1;61;0
2006/10;7.5;0,64;1,3;355;55;12;0;80;0
2006/11;4.5;0,064;3,5;139;36;0;0;79;0
2006/12;2.3;3,616;3;223;8;2;0;42;0
2007/01;-3.4;3,57;6,4;238;9;3;0;93;0
2007/02;-3.3;1,085;3,1;204;14;2;0;47;0
2007/03;0.7;1,96;2,1;261;2;0;0;85;1
2007/04;4.1;6,37;2,6;395;8;3;2;134;0
2007/05;10.9;11,235;4,8;306;12;2;0;71;0
2007/06;13.5;54,04;9,5;443;18;0;3;191;0
2007/07;17.6;42,21;20,9;311;5;0;0;221;0
2007/08;15.9;28;10,8;362;9;4;0;280;1
2007/09;12.4;6,44;4,3;328;16;1;3;63;0
2007/10;6.5;0,805;1,5;269;4;1;0;86;0
2007/11;4.1;1,47;0,2;126;5;0;0;68;0
2007/12;-5.2;2,146;3,5;220;2;2;0;63;0
2008/01;-4.3;4,44;1,6;220;13;1;0;78;0
2008/02;-9.8;1,11;3,6;334;8;1;0;202;0
2008/03;-0.9;5,143;3,4;413;15;2;0;114;0
2008/04;5.6;6,549;5,1;461;7;2;0;86;0
2008/05;9.9;10,027;3,9;685;19;4;0;419;0
2008/06;16.5;54,316;9,7;239;16;0;0;169;0
2008/07;20.5;45,51;19;585;6;3;0;173;0
2008/08;17.4;31,376;11,7;580;63;2;0;148;0
2008/09;13.5;7,844;5,5;583;9;3;1;81;0
2008/10;8.5;0,592;3,1;525;11;2;2;119;0
2008/11;5.2;0,518;2;609;13;2;1;125;0
2008/12;3.5;3,108;5,8;517;11;0;0;62;0
2009/01;-10.7;5,291;2,6;698;10;3;0;167;1
2009/02;-8.4;1,554;2,5;470;13;6;0;107;2
2009/03;-1.8;3,33;3,7;609;9;1;0;166;0
2009/04;6.6;5,846;6,5;399;10;3;0;143;0
2009/05;11.4;10,619;4,8;455;22;2;0;279;1
2009/06;14.6;55,056;11,9;697;23;4;0;307;1
2009/07;21.6;43,068;20,9;495;24;12;0;285;0
2009/08;18.1;30,155;12,4;522;25;5;0;270;2
2009/09;12.1;6,216;3,2;383;14;2;0;157;0
2009/10;6;0,555;-0,9;791;11;5;0;168;0
2009/11;-0.5;1,702;3,8;668;17;3;0;188;0
2009/12;- 7.4;5,217;2,9;656;9;4;2;122;0
2010/01;-2.8;4,255;0,8;1084;34;10;7;161;0
2010/02;-3.6;0,074;4;715;13;0;3;187;0
2010/03;-0.9;4,736;-0,4;656;30;3;2;191;0
2010/04;4.5;7,659;4,1;703;5;4;1;210;0
2010/05;10.7;12,617;2,7;581;7;3;0;224;3
2010/06;14.1;56,129;12,3;590;14;9;0;254;0
2010/07;17.2;43,364;20,6;681;25;1;2;245;2
2010/08;16.7;28,86;9,1;859;24;3;2;233;0
2010/09;13.8;6,882;6,6;848;9;7;12;154;0
2010/10;4.2;0,074;-0,7;823;17;4;2;165;1
2010/11;3.6;1,813;1,2;923;14;6;0;202;0
2010/12;-3.6;4,04;2,6;1070;15;4;2;180;2
2011/01;0.6;5,48;2,5;954;17;4;1;257;0
2011/02;1.1;0,6;2;997;12;3;1;188;0
2011/03;0.2;5;3,6;1584;31;1;1;257;0
2011/04;6.1;7,92;3,5;1236;18;9;1;350;0
2011/05;10.9;13,56;5;1363;24;3;2;327;1
2011/06;14.4;60,12;14,3;1888;25;6;1;371;2
2011/07;17.6;46,76;20,2;1040;53;10;2;339;1
2011/08;15.5;33,88;7,7;1082;30;3;1;326;0
2011/09;10.4;6,08;5,5;1149;28;4;0;274;0
2011/10;9.3;0,2;1,9;1314;27;5;3;360;1
2011/11;3.7;0,52;1,7;1363;25;5;0;328;0
2011/12;1.3;2,08;4,2;1386;18;5;1;238;0
2012/01;- 1.1;5;5,7;1402;78;13;1;343;0
2012/02;- 7.9;1,92;3,7;1060;25;8;1;323;0
2012/03;3.1;5,4;1,4;989;74;5;0;429;0
2012/04;5.5;9,6;3,9;1234;44;8;1;471;0
2012/05;10.5;13,68;2,8;1451;74;9;2;595;0
2012/06;15.6;59,48;11,1;1515;29;15;1;790;1
2012/07;17.5;48,12;20,4;1618;36;7;3;855;0
2012/08;17.6;31,92;10,9;1516;42;9;2;464;0
2012/09;11.9;6,56;5,7;1283;38;5;0;399;0
2012/10;7.3;1,52;3,1;1760;24;5;1;496;1
2012/11;1.2;0,4;0,1;1665;28;2;0;414;0
2012/12;2.4;5,12;3,4;1808;21;10;6;426;1
2013/01;- 3.6;4,12;1;1887;55;9;3;502;0
2013/02;- 7.9;1,28;4,7;1456;26;6;0;487;0
2013/03;- 5.4;4,24;0,6;1708;38;6;4;497;0
2013/04;3.6;7,8;3,6;1381;19;7;5;467;1
2013/05;10.5;12,76;5,8;1501;42;8;3;790;0
2013/06;15.9;61,72;9,8;1746;41;5;2;1070;0
2013/07;18.9;46,32;17,6;2110;23;11;2;1012;1
2013/08;18.7;32,84;7,9;1696;38;23;3;794;1
2013/09;14.0;9,16;5,6;1259;24;20;3;504;1
2013/10;8.5;1,44;1,9;2249;102;23;8;706;0
2013/11;2.7;1,76;3,3;2133;66;26;4;708;0
2013/12;4.0;5,16;5,2;3083;71;14;1;1006;2
2014/01;- 0.1;2,16;1,3;3105;62;22;1;1150;3
